station id,depth,Water C,DO MG/L,SPC,TDS mg/L,PH,,,,,,,,,,,,,,
2019,,,,,,,,,,,,,,,,,,,,
,8,4.7,14.50,46.30,30.55,7.01,,,,,,,,,,,,,,
,9,4.7,14.92,46.90,30.55,7.05,DATA NOTES,,,,,,,,,,,,,
,10,4.7,14.78,46.50,30.55,7.10,,,,,,,,,,,,,,
,11,4.8,14.80,46.80,30.55,7.13,,,,,,,,,,,,,,
,12,4.8,14.85,46.40,30.55,7.17,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,4.8,13.98,47.10,30.55,7.78,date/time:,2020/Feb/23 11:00,,,,,,,,,,,,
,1,4.8,13.70,47.20,30.55,6.84,weather:,"windy, sunny+clouds",,,,,,,,,,,,
,2,4.8,13.57,47.10,30.55,6.60,people:,Max and Heidi,,,,,,,,,,,,
,3,4.8,13.53,47.10,30.55,6.48,air temp (C):, 	7.1 ,,,,,,,,,,,,
,4,4.8,13.46,47.10,30.55,6.41,secchi 1 (m):, 	3.2 ,,,,,,,,,,,,
,5,4.8,13.39,47.10,30.55,6.37,secchi 2 (m):, 	3.1 ,,,,,,,,,,,,
,6,4.8,13.35,47.20,30.55,6.34,Nitrogen (ug/L):, 	0.2980 ,,,,,,,,,,,,
,7,4.8,13.33,47.10,30.55,6.34,Phosporus (ug/L):, 	0.0070 ,,,,,,,,,,,,
,8,4.8,13.33,47.10,30.55,6.35,,,,,,,,,,,,,,
,9,4.8,13.33,47.10,30.55,6.36,DATA NOTES,,,,,,,,,,,,,
,10,4.8,13.27,47.10,30.55,6.39,,,,,,,,,,,,,,
,11,4.8,13.27,47.10,30.55,6.39,,,,,,,,,,,,,,
,12,4.8,13.27,47.10,30.55,6.39,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,8.1,14.38,47.00,30.55,6.42,date/time:,2020/Mar/26 11:30,,,,,,,,,,,,
,1,8.0,14.34,46.80,30.55,6.44,weather:,"overcast, rain, no wind",,,,,,,,,,,,
,2,8.0,13.96,46.70,30.55,6.47,people:,Max and Carrie,,,,,,,,,,,,
,3,7.9,13.54,46.80,30.55,6.50,air temp (C):, 	12.6 ,,,,,,,,,,,,
,4,7.5,13.60,46.80,30.55,6.51,secchi 1 (m):, 	3.2 ,,,,,,,,,,,,
,5,7.0,13.25,46.80,30.55,6.49,secchi 2 (m):, 	3.0 ,,,,,,,,,,,,
,6,6.9,13.29,46.90,30.55,6.43,Nitrogen (ug/L):, 	0.3030 ,,,,,,,,,,,,
,7,6.5,13.32,46.90,30.55,6.41,Phosporus (ug/L):, 	0.0100 ,,,,,,,,,,,,
,8,6.2,13.17,46.90,30.55,6.35,,,,,,,,,,,,,,
,9,5.9,12.3x,47.00,30.55,6.33,DATA NOTES,"""x""=unstable DO",,,,,,,,,,,,
,10,5.7,12.35,47.00,30.55,6.33,,"April -- It looked like algae bloom, water samples were taken by Carrie and sent to lab by 8 Lane",,,,,,,,,,,,
,11,5.7,12.30,47.00,30.55,6.33,,,,,,,,,,,,,,
,12,5.6,12.34,47.00,30.55,6.33,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,14.0,11.90,47.00,30.55,7.08,date/time:,2020/May/05 11:00,,,,,,,,,,,,
,1,13.7,11.55,47.10,30.55,6.91,weather:,"sunny, calm",,,,,,,,,,,,
,2,13.4,10.90,47.00,30.55,6.81,people:,Gina and Carrie,,,,,,,,,,,,
,3,13.2,10.80,47.00,30.55,6.77,air temp (C):,na,,,,,,,,,,,,
,4,13.1,10.90,47.00,30.55,6.76,secchi 1 (m):, 	4.6 ,,,,,,,,,,,,
,5,12.3,12.10,47.00,30.55,6.93,secchi 2 (m):, 	4.4 ,,,,,,,,,,,,
,6,10.1,12.03,47.20,30.55,6.51,Nitrogen (ug/L):, 	0.2200 ,,,,,,,,,,,,
,7,8.2,11.17,47.40,30.55,6.26,Phosporus (ug/L):, 	0.0040 ,,,,,,,,,,,,
,8,7.8,11.18,47.20,30.55,6.19,,,,,,,,,,,,,,
,9,7.6,10.25,47.40,30.55,6.12,DATA NOTES,,,,,,,,,,,,,
,10,7.5,10.50,47.40,30.55,6.08,,,,,,,,,,,,,,
,11,7.4,9.57,47.50,30.28,6.05,,,,,,,,,,,,,,
,12,6.9,9.36,47.60,31.20,6.03,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,20.1,9.72,47.80,31.55,7.15,date/time:,2020/May/31 16:00,,,,,,,,,,,,
,1,19.9,9.71,47.10,30.55,7.07,weather:,"sunny, light wind",,,,,,,,,,,,
,2,19.3,9.90,47.00,30.55,7.15,people:,Gina and Ziemek (Gina's son),,,,,,,,,,,,
,3,19.0,9.64,47.00,30.55,7.14,air temp (C):, 	18.9 ,,,,,,,,,,,,
,4,18.0,10.35,46.50,30.55,7.23,secchi 1 (m):, 	4.5 ,,,,,,,,,,,,
,5,16.4,11.11,45.60,30.55,7.12,secchi 2 (m):, 	5.3 ,,,,,,,,,,,,
,6,13.6,13.66,45.90,30.55,7.23,Nitrogen (ug/L):, 	0.2040 ,,,,,,,,,,,,
,7,10.2,12.00,46.50,30.55,6.17,Phosporus (ug/L):, 	0.0037 ,,,,,,,,,,,,
,8,9.8,9.97,46.10,30.55,6.77,,,,,,,,,,,,,,
,9,9.0,8.14,46.90,30.55,6.50,DATA NOTES,,,,,,,,,,,,,
,10,8.5,7.14,46.90,30.55,6.35,,,,,,,,,,,,,,
,11,8.4,5.83,46.50,30.55,6.15,,,,,,,,,,,,,,
,12,8.5,5.60,47.20,30.55,6.15,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,20.1,9.16,48.00,31.20,6.59,date/time:,2020/Jun/20 11:25,,,,,,,,,,,,
,1,20.1,8.85,48.00,31.20,6.64,weather:,"windy, overcast, wind",,,,,,,,,,,,
,2,20.1,9.32,48.00,31.20,6.71,people:,Andrew and Carrie,,,,,,,,,,,,
,3,19.9,8.95,48.00,31.20,6.69,air temp (C):, 	17.6 ,,,,,,,,,,,,
,4,18.1,9.53,47.90,31.20,6.69,secchi 1 (m):, 	5.4 ,,,,,,,,,,,,
,5,17.3,9.86,48.00,31.20,6.43,secchi 2 (m):, 	5.4 ,,,,,,,,,,,,
,6,14.6,11.83,48.00,31.20,6.39,Nitrogen (ug/L):, 	0.1980 ,,,,,,,,,,,,
,7,10.5,9.54,47.90,31.20,7.94,Phosporus (ug/L):, 	0.0072 ,,,,,,,,,,,,
,8,9.1,8.60,48.30,31.20,6.84,,,,,,,,,,,,,,
,9,8.2,6.54,48.40,31.85,6.75,DATA NOTES,,,,,,,,,,,,,
,10,7.9,4.45,49.10,31.85,6.67,,,,,,,,,,,,,,
,11,7.8,3.96,49.20,31.85,5.63,,,,,,,,,,,,,,
,12,7.8,3.85,49.40,31.85,5.61,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,22.9,8.01,48.60,31.85,6.83,date/time:,2020/Jul/25 10:30,,,,,,,,,,,,
,1,22.4,8.42,49.00,31.85,6.95,weather:,"light wind, sunny",,,,,,,,,,,,
,2,21.1,8.50,49.10,31.85,6.90,people:,Mary and Alma,,,,,,,,,,,,
,3,22.0,8.65,49.20,31.85,6.97,air temp (C):,na,,,,,,,,,,,,
,4,21.9,8.45,49.20,31.85,6.96,secchi 1 (m):, 	5.5 ,,,,,,,,,,,,
,5,21.0,8.85,48.60,31.85,7.14,secchi 2 (m):, 	5.9 ,,,,,,,,,,,,
,6,17.0,8.60,48.30,31.20,6.76,Nitrogen (ug/L):, 	0.1730 ,,,,,,,,,,,,
,7,13.0,7.94,48.60,31.85,6.46,Phosporus (ug/L):,<0.0030,,,,,,,,,,,,
,8,10.5,6.65,49.10,31.85,6.04,,,,,,,,,,,,,,
,9,8.7,3.35,50.00,32.50,5.77,DATA NOTES,,,,,,,,,,,,,
,10,8.4,2.21,51.00,33.15,5.72,,,,,,,,,,,,,,
,11,8.4,1.78,51.20,33.15,5.70,,,,,,,,,,,,,,
,12,8.6,1.68,51.00,33.15,5.59,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
DWH,0,22.2,7.74,49.60,31.85,7.20,date/time:,2020/Sep/01 19:30,,,,,,,,,,,,
,1,22.2,7.77,49.30,31.85,7.03,weather:,"calm sunset, nice clouds",,,,,,,,,,,,
,2,21.5,8.01,49.20,31.85,7.05,people:,Autumn and Sarah Moore,,,,,,,,,,,,
,3,21.2,7.88,48.90,31.85,6.97,air temp (C):, 	19.7 ,,,,,,,,,,,,
,4,21.2,7.55,49.10,31.85,6.97,secchi 1 (m):, 	4.9 ,,,,,,,,,,,,
,5,20.8,7.98,49.10,31.85,6.95,secchi 2 (m):, 	4.9 ,,,,,,,,,,,,
,6,20.7,7.88,48.80,31.85,6.90,Nitrogen (ug/L):, 	0.1710 ,,,,,,,,,,,,
,7,17.6,7.00,48.60,31.85,6.77,Phosporus (ug/L):,<0.0030,,,,,,,,,,,,
,8,13.7,4.60,48.90,31.85,6.40,,,,,,,,,,,,,,
,9,10.7,2.55,50.00,32.50,5.80,DATA NOTES,,,,,,,,,,,,,
,10,10.1,1.98,51.30,33.15,5.70,,,,,,,,,,,,,,
,11,9.8,1.16,56.60,36.40,5.70,,,,,,,,,,,,,,
